Obsid,Beam,c2_good,c1_good,c0_good,c2_ok,c1_ok,c0_ok,all_good,all_ok,all_good_ok,rms_c2,rms_c1,rms_c0,lgfrac_c2,lgfrac_c1,lgfrac_c0,prom_c2,prom_c1,prom_c0
190809042,8,1,1,1,0,0,0,1,0,1,0.0019172878,0.0019690786,0.001978999,-5.932691,-5.9361515,-5.978121,4.2228446,4.2776446,4.3013864
190809042,9,0,0,0,1,1,1,0,1,1,0.0015868327,0.0016518167,0.0017019524,-5.29191,-5.189829,-5.0935144,4.277357,4.2685547,4.268686
190809042,10,1,1,1,0,0,0,1,0,1,0.0014059567,0.0014502628,0.0014999209,-5.9538803,-5.8807735,-6.01079,4.3011184,4.237087,4.230258
190809042,11,1,1,1,0,0,0,1,0,1,0.0014550915,0.0014969034,0.001545755,-5.912488,-5.912488,-5.848487,4.259742,4.291276,4.3142023
190809042,12,1,1,1,0,0,0,1,0,1,0.0024797579,0.0025763456,0.0026708122,-5.925852,-5.9431567,-5.947738,4.236096,4.2365575,4.2498116
190809042,13,0,0,0,0,0,0,0,0,0,0.0027396132,0.0029515466,0.0031089245,-3.6875253,-3.6891563,-3.708871,4.2550607,4.3032436,4.3396316
190809042,14,0,0,1,1,1,0,0,0,1,0.0026381593,0.0027353482,0.0027781052,-4.8347235,-5.2470207,-5.309114,4.375613,4.273349,4.2889395
190809042,15,1,1,1,0,0,0,1,0,1,0.0020103727,0.0019213143,0.0018179179,-5.946702,-5.8807735,-5.7165995,4.2719617,4.250043,4.2946215
190809042,16,0,0,0,0,0,0,0,0,0,0.0014676241,0.0015240753,0.0015756348,-3.9198873,-3.976538,-4.0271072,4.302508,4.361499,4.316558
190809042,18,1,1,1,0,0,0,1,0,1,0.0017020688,0.0017604256,0.0018491091,-6.0287404,-5.8687086,-6.053542,4.255899,4.2624226,4.2493854
190809042,19,0,0,0,0,0,0,0,0,0,0.0017190254,0.0017800785,0.001826807,-3.8862827,-3.9093406,-3.8927941,4.3124375,4.317941,4.370764
190809042,20,1,1,1,0,0,0,1,0,1,0.0018026914,0.0018760293,0.0019670143,-5.698608,-5.839937,-5.848487,4.317811,4.289473,4.3120747
190809042,21,0,1,0,1,0,0,0,0,0,0.002478739,0.0022973802,0.004033068,-5.1108556,-5.912488,-5.0080843,4.557486,4.229796,4.942942
190809042,23,0,0,0,0,0,0,0,0,0,0.0013947722,0.0014236424,0.0014690172,-4.315391,-4.3287396,-4.400496,4.2586355,4.2222185,4.2147136
190809042,24,0,0,0,0,0,0,0,0,0,0.0017062256,0.0018041212,0.0018155519,-3.9853976,-4.1374736,-3.8356953,4.271962,4.2850695,4.2443743
190809042,25,0,0,0,0,0,0,0,0,0,0.00198059,0.002006838,0.0020310709,-3.3574798,-3.395034,-3.4178863,4.6650033,4.6070943,4.5617485
190809042,26,0,0,0,0,0,0,0,0,0,0.0017017983,0.0017358569,0.0017879781,-3.8577528,-4.018163,-4.0690923,4.1723886,4.242675,4.200416
190809042,27,1,1,1,0,0,0,1,0,1,0.0016590087,0.0017199407,0.0017088234,-6.04629,-6.0244617,-6.144872,4.196744,4.201526,4.2256246
