# Census of all observations
# manual assessment of number of good dishes
# and number of good beams (i.e., missed cals, clear bw issue)
# i am conservative with dishes - if there are sawtooth
# residual delays, i mark that as bad,
# presuming it might fail with reprocessing / ccal QA
# 
# Extra notes
# 20111034-201115001 heavily imapcted by RFI (beamweights? radar?)
# calibration / bandpass not super trustworthy
# Also 201116016 (not cals, but data itself). And same for latter in Nob
# Will do a separate RFI view (did some work on that before)
# 
taskID,name,goodtelescopes,n_goodbeams,processed
201105081,M0208+3356,23456789ACD,40,True
201106081,M0141+3356,23456789ACD,40,True
201107041,S2117+2904,23456789ACD,40,True
201108033,S1215+6041,23456789ACD,40,True
201108034,S0149+3848,23456789ACD,40,True
201110034,S0204+3848,23456789ABCD,0,True
201111041,S2329+4606,23456789ABCD,0,True
201112041,S1536+5058,23456789ABCD,0,True
201113001,S1041+5815,23456789ABCD,0,True
201113002,S2332+4340,23456789ABCD,0,True
201114041,S1553+5058,23456789ABCD,0,True
201115001,S1232+5324,23456789ABCD,0,True
201116016,S1250+5324,23456789ABCD,40,True
201116017,S0228+4114,23456789ABCD,40,True
201117064,S2104+2904,23456789ABCD,40,True
201118023,S1153+6041,23456789ABCD,40,True
201118024,S2349+2904,23456789ABCD,40,True
201119041,S1509+5815,23456789ABCD,40,True
201119042,S0246+3848,23456789ABCD,40,True
201120041,S2107+3622,23456789ABCD,40,True
201121021,S1213+6307,23456789ABCD,40,True
201121022,S2358+3130,23456789ABCD,40,True
201122041,S2109+3130,23456789ABCD,40,True
201123020,S1235+3356,23456789ABCD,40,True
201123021,M0208+3356,23456789ABCD,40,True
201124041,S2122+3130,2345679ABCD,40,True
201125021,S1239+5550,2345679ABCD,40,True
201125022,S0128+3356,2345679ABCD,40,True
201126041,S2334+4114,23456789ABCD,39,True
201127041,S1611+5550,23456789ABCD,39,True
201128001,S1253+3622,23456789ABCD,39,True
201129006,S1300+6307,23456789ABCD,39,True
201129007,S0135+3848,23456789ABCD,39,True
201130041,S2338+3622,23456789ABCD,40,True
201217001,S1225+3848,23456789ABCD,40,True
201217002,S0127+3622,23456789ABCD,40,True
201219001,S1239+3848,23456789ABCD,40,True
201219002,S0159+4114,23456789ABCD,40,True
201220089,S1101+5324,23456789ABCD,40,True
201221001,S2248+3356,23456789ABCD,40,True
201222016,S1337+5550,23456789ABCD,40,True
201222017,S0234+3130,23456789ABCD,40,True
201223041,S2101+3356,23456789ABCD,40,True
201223082,S1201+5550,23456789ABCD,40,True
201224001,S2341+3356,23456789ABCD,40,True
201225067,S2115+3356,23456789ABCD,40,True
201225108,S1214+5324,23456789ABCD,40,True
201226001,S2355+3356,23456789ABCD,40,True
201227041,S2342+3848,23456789ABCD,40,True
201228022,S1435+4832,23456789ABCD,40,True
201228023,S0235+3356,23456789ABCD,40,True
201229041,S2345+4606,23456789ABCD,40,True
201230021,S1452+4832,23456789ABCD,40,True
201230022,S0236+3622,23456789ABCD,40,True
201231041,S2347+4340,23456789ABCD,40,True
210101021,S0248+3356,23456789ABCD,40,True
210102041,S2348+4114,23456789ABCD,40,True
210103019,S1525+4832,23456789ABCD,40,True
210103020,S0250+3622,23456789ABCD,40,True
210104041,S2351+3622,23456789ABCD,40,True
210107005,S1404+3848,23456789ABCD,39,True
210107006,S0207+2904,23456789ABCD,39,True
210108041,S2052+2904,23456789ABCD,39,True
210108082,S1204+5815,23456789ABCD,39,True
210109001,S2351+5550,23456789ABCD,39,True
210110041,S2056+3130,23456789ABCD,39,True
210110082,S1143+5815,23456789ABCD,39,True
210111001,S2356+3848,23456789ABCD,39,True
210112041,S2043+3130,23456789ABCD,39,True
210112082,S1220+5550,23456789ABCD,39,True
210113001,S2359+5058,23456789ABCD,39,True
210114041,S2039+2904,23456789ABCD,39,True
210114082,S1224+5815,23456789ABCD,39,True
210115001,S0115+3356,23456789ABCD,39,True
210116041,S0114+3622,23456789ABCD,39,True
210117025,S1611+5058,23456789ABCD,39,True
210117026,M1309+3130,23456789ABCD,39,True
210120129,S1236+6041,2456789ABCD,40,True
210121001,M0155+3130,2456789ABD,40,True
210204047,M0142+3130,23456789ABCD,40,True
210205049,M0141+3356,23456789ABCD,39,True
210206062,M0141+3356,23456789ABCD,40,True
210207036,M0141+3622,2345678ABCD,40,True
210208061,M0141+3622,23456789ABCD,40,True
210209027,M0208+3130,23456789ABCD,40,True
210210041,M0208+3356,23456789ABCD,40,True
210211023,M0208+3356,23456789ABCD,40,True
210211024,S1334+3622,23456789ABCD,40,True
210212041,M1248+3356,346789AB,40,True
210213041,M1248+3356,346789AB,40,True
210214041,M1248+3356,3456789ABCD,40,True
210215041,M1252+2904,456789ABCD,40,True
210217142,S1529+5815,23456789ABCD,40,True
210218001,S0314+3848,23456789ABCD,40,True
