timestamp,target_tid,target_name,cal1_tids,cal1_name,cal2_tids,cal2_name,beams,node,starttime,endtime,runtime,failures
1565058635.000900,190722001,M0208+3130,-,-,-,-,-,happili-01,-,2019-08-06 02:30:34.850290,23:46:10.275723,"B001: FAILED on crosscal,continuum"
1565080076.001300,190722001,M0208+3130,-,-,-,-,-,happili-04,-,2019-08-06 08:27:55.622971,23:22:39.601661,"B033: FAILED on continuum, B039: FAILED on crosscal"
1565089675.001600,190722001,M0208+3130,-,-,-,-,-,happili-02,-,2019-08-06 11:07:54.506909,"1 day, 3:59:46.868915",
1565264969.001900,190725041,S1236+6041,190725010-190725001,3C147,190726001-190726010,3C286,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-08-08 11:49:29.613922,,,
1565264972.002000,190725041,S1236+6041,190725020-190725011,3C147,190726011-190726020,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-08-08 11:49:32.201723,,,
1565264972.002100,190725041,S1236+6041,190725040-190725031,3C147,190726031-190726040,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-08-08 11:49:32.641960,,,
1565264974.002200,190725041,S1236+6041,190725030-190725021,3C147,190726021-190726030,3C286,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-08-08 11:49:33.844343,,,
1565343371.000100,190725041,S1236+6041,-,-,-,-,-,happili-03,-,2019-08-09 09:36:10.124338,21:46:35.449668,"B023: FAILED on preflag,crosscal,convert,scal,continuum,polarisation"
1565347370.000400,190725042,M0155+3130,190725030-190725021,3C147,190726021-190726030,3C286,"20,21,22,23,24,25,26,27,28,29",happili-03,2019-08-09 10:42:50.643730,,,
1565357959.000500,190725041,S1236+6041,-,-,-,-,-,happili-04,-,2019-08-09 13:39:18.674379,"1 day, 1:49:45.118484",B032: FAILED on continuum
1565361735.000700,190725041,S1236+6041,-,-,-,-,-,happili-01,-,2019-08-09 14:42:15.177041,"1 day, 2:52:44.271545","B007: FAILED on continuum, B009: FAILED on scal"
1565362476.001000,190725042,M0155+3130,190725040-190725031,3C147,190726031-190726040,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-08-09 14:54:36.470998,,,
1565366272.001200,190725042,M0155+3130,190725010-190725001,3C147,190726001-190726010,3C286,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-08-09 15:57:52.719233,,,
1565370213.001300,190725041,S1236+6041,-,-,-,-,-,happili-02,-,2019-08-09 17:03:32.860182,"1 day, 5:13:59.822979",
1565374578.001600,190725042,M0155+3130,190725020-190725011,3C147,190726011-190726020,3C286,"10,11,12,13,14,15,16,17,18,19",happili-02,2019-08-09 18:16:18.673767,,,
1565424979.000100,190725042,M0155+3130,-,-,-,-,-,happili-03,-,2019-08-10 08:16:18.832976,21:33:26.416348,"B021: FAILED on continuum, B023: FAILED on preflag,crosscal,convert,scal,continuum,polarisation"
1565446162.000100,190725042,M0155+3130,-,-,-,-,-,happili-04,-,2019-08-10 14:09:21.683366,23:14:43.317327,
1565486679.000100,190725042,M0155+3130,-,-,-,-,-,happili-02,-,2019-08-11 01:24:38.026248,"1 day, 7:08:17.490206",
1566281990.000100,190726041,S2319+3130,190726010-190726001,3C286,190727001-190727010,3C147,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-08-20 06:19:50.490431,,,
1566281998.000200,190726041,S2319+3130,190726040-190726031,3C286,190727031-190727040,3C147,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-08-20 06:19:58.068487,,,
1566284663.000300,190726041,S2319+3130,190726019-190726011,3C286,190727011-190727019,3C147,"10,11,12,13,14,15,16,17,18",happili-02,2019-08-20 07:04:22.770638,,,
1566284678.000400,190726041,S2319+3130,190726030-190726021,3C286,190727021-190727030,3C147,"20,21,23,24,25,26,27,28,29",happili-03,2019-08-20 07:04:38.155823,,,
1566350443.000100,190726041,S2319+3130,-,-,-,-,-,happili-03,-,2019-08-21 01:20:43.047456,18:16:03.930483,"B021: FAILED on crosscal, B023: FAILED on preflag,crosscal,convert,scal,continuum,polarisation, B024: FAILED on crosscal,continuum, B025: FAILED on crosscal,scal,continuum"
1566353202.000400,190727041,S1439+5324,190727030-190727021,3C147,190728021-190728030,3C286,"20,21,23,24,25,26,27,28,29",happili-03,2019-08-21 02:06:42.486175,,,
1566365022.000100,190726041,S2319+3130,-,-,-,-,-,happili-04,-,2019-08-21 05:23:41.775790,23:03:42.641181,
1566366908.000300,190726041,S2319+3130,-,-,-,-,-,happili-01,-,2019-08-21 05:55:08.591051,23:35:16.986650,
1566369352.000600,190727041,S1439+5324,190727040-190727031,3C147,190728031-190728040,3C286,"30,31,32,33,34,35,36,37,38,39",happili-04,2019-08-21 06:35:52.380934,,,
1566371522.000700,190726041,S2319+3130,-,-,-,-,-,happili-02,-,2019-08-21 07:12:01.015898,"1 day, 0:07:36.872708",
1566371783.001000,190727041,S1439+5324,190727010-190727001,3C147,190728001-190728010,3C286,"0,1,2,3,4,5,6,7,8,9",happili-01,2019-08-21 07:16:22.670263,,,
1566375551.001200,190727041,S1439+5324,190727019-190727011,3C147,190728011-190728019,3C286,"10,11,12,13,14,15,16,17,18",happili-02,2019-08-21 08:19:11.089851,,,
