taskid,beam,pass_V,pass_QU,Q_bm_fg,U_bm_fg,Q_st_fg,U_st_fg,s_in,s_out,rat,peak,peak_s,peak_in,N2,P2,Ex-2,Ex+2,ftmax,bmaj,bmin,bpa
190712041,28,False,False,1.0,1.0,1.0,1.0,75.8,45.0,1.68,2710.5,60.2,2710.5,3.3,3.5,2962.0,3147.0,5.3,18.0,12.8,-0.1
190712041,29,True,False,1.0,1.0,1.0,1.0,36.2,32.6,1.11,1008.0,30.9,922.1,1.5,1.6,1381.0,1435.0,4.3,17.6,12.7,0.2
190712041,30,True,False,1.0,1.0,1.0,1.0,29.5,29.1,1.01,851.2,29.2,348.5,1.1,1.0,983.0,965.0,4.3,17.6,12.5,-0.1
190712041,31,True,False,1.0,1.0,1.0,1.0,32.6,32.7,1.0,292.3,8.9,292.3,1.0,1.0,901.0,899.0,4.2,17.7,12.6,-0.1
190712041,32,False,False,1.0,1.0,1.0,1.0,63.5,62.7,1.01,1154.2,18.4,1070.4,1.0,1.1,936.0,970.0,16.7,17.7,12.7,0.5
190712041,33,False,False,1.0,1.0,1.0,1.0,106.4,107.1,0.99,573.2,5.4,513.4,1.0,1.0,918.0,892.0,37.8,17.5,12.6,-0.5
190712041,34,True,False,1.0,1.0,1.0,1.0,44.2,43.9,1.01,780.0,17.8,311.7,1.0,1.0,942.0,878.0,8.7,17.9,12.7,-1.2
190712041,35,True,False,1.0,1.0,1.0,1.0,37.8,38.0,0.99,1052.9,27.7,1052.9,0.9,0.9,845.0,864.0,7.5,17.5,12.6,-0.5
190712041,36,True,False,1.0,1.0,1.0,1.0,32.8,32.9,1.0,246.8,7.5,196.1,1.0,1.0,894.0,885.0,5.1,17.7,12.7,-0.1
190712041,37,False,False,1.0,1.0,1.0,1.0,51.0,51.5,0.99,879.1,17.1,637.1,0.9,1.0,248.0,260.0,17.2,31.9,23.5,0.2
190712041,38,True,False,1.0,1.0,1.0,1.0,44.9,44.7,1.01,338.1,7.6,298.2,1.0,1.0,878.0,860.0,6.0,18.5,13.2,-0.2
190712041,39,False,False,1.0,1.0,1.0,1.0,71.6,69.3,1.03,3209.4,46.3,1646.5,1.0,1.1,878.0,915.0,9.0,18.4,13.3,0.6
190713001,0,True,False,1.0,1.0,1.0,1.0,31.2,29.6,1.05,402.3,13.6,258.7,1.3,1.3,819.0,818.0,4.5,27.4,11.5,0.1
190713001,1,True,False,1.0,1.0,1.0,1.0,43.8,43.6,1.0,463.3,10.6,463.3,1.0,1.0,663.0,640.0,10.1,27.9,11.4,0.0
190713001,2,False,False,1.0,1.0,1.0,1.0,67.4,66.8,1.01,492.3,7.4,492.3,1.0,1.0,656.0,657.0,19.1,28.0,11.4,-0.0
190713001,3,True,False,1.0,1.0,1.0,1.0,29.1,29.3,0.99,318.3,10.9,137.9,1.0,1.0,612.0,627.0,4.6,28.0,11.5,0.0
190713001,4,False,False,1.0,1.0,1.0,1.0,135.3,131.5,1.03,2337.5,17.8,2337.5,1.1,1.1,686.0,717.0,52.8,28.0,11.4,0.0
190713001,5,True,False,1.0,1.0,1.0,1.0,32.8,31.6,1.04,1113.3,35.2,531.7,1.1,1.1,730.0,698.0,6.9,28.0,11.4,0.0
190713001,6,True,False,1.0,1.0,1.0,1.0,38.2,38.2,1.0,1728.2,45.2,184.3,1.0,1.0,634.0,637.0,7.4,28.0,11.4,0.0
190713001,7,True,False,1.0,1.0,1.0,1.0,53.3,52.6,1.01,1590.3,30.2,437.2,1.0,1.1,653.0,678.0,9.5,28.0,11.4,0.1
190713001,8,True,False,1.0,1.0,1.0,1.0,43.6,43.8,0.99,228.5,5.2,196.9,1.0,1.0,618.0,608.0,8.7,28.1,11.5,-0.0
190713001,9,True,False,1.0,1.0,1.0,1.0,34.6,34.9,0.99,174.8,5.0,162.9,1.0,1.0,606.0,617.0,5.4,28.1,11.5,-0.0
190713001,10,True,False,1.0,1.0,1.0,1.0,34.8,34.9,0.99,279.0,8.0,279.0,1.0,1.0,608.0,615.0,5.0,28.2,11.5,-0.0
190713001,11,True,False,1.0,1.0,1.0,1.0,35.1,35.3,0.99,400.9,11.4,245.9,1.0,1.0,618.0,603.0,6.2,28.2,11.5,0.0
190713001,12,True,False,1.0,1.0,1.0,1.0,45.0,41.7,1.08,2639.7,63.3,2639.7,1.1,1.1,725.0,720.0,5.9,27.8,11.5,0.1
190713001,13,False,False,1.0,1.0,1.0,1.0,67.4,64.5,1.04,1679.8,26.1,1679.8,1.1,1.1,687.0,694.0,13.6,28.2,11.5,0.0
190713001,14,False,False,1.0,1.0,1.0,1.0,71.7,57.8,1.24,3823.1,66.1,3823.1,1.2,1.1,757.0,714.0,8.3,28.1,11.5,0.1
190713001,15,True,False,1.0,1.0,1.0,1.0,39.8,39.3,1.01,501.9,12.8,501.9,1.0,1.0,653.0,631.0,6.7,27.8,11.5,-0.1
