taskid,beam,cont_pass,pol_pass,pol_V_pass,pol_QU_pass,HI_all_good,HI_all_good_ok,HI_c2_good_ok,HI_c2_good,HI_pass,all_pass,s_in,s_out,rat,N2,Ex-2,pol_s_in,pol_s_out,pol_rat,pol_N2,pol_Ex-2,pol_ftmax,pol_peak_in,pol_P2,pol_bmin,Q_bm_fg,U_bm_fg,Q_st_fg,U_st_fg,Field
190913045,33,True,True,True,True,True,True,True,True,True,True,56.2,46.6,1.2,2.2,439.0,44.0,44.0,1.0,1.0,897.0,23.5,1346.5,1.0,-3.6,0.08,0.08,0.12,0.12,M1403+5324
190913046,1,True,True,True,True,True,True,True,True,True,True,53.9,48.5,1.11,1.6,160.0,50.5,49.5,1.02,1.1,725.0,6.9,686.2,1.1,0.9,0.08,0.08,0.08,0.08,M0155+3130
190913046,3,True,True,True,True,True,True,True,True,True,True,40.3,35.8,1.13,1.7,193.0,36.5,36.1,1.01,1.0,690.0,7.4,805.5,1.0,0.5,0.08,0.08,0.08,0.08,M0155+3130
190913046,6,True,True,True,True,True,True,True,True,True,False,51.5,43.3,1.19,2.2,317.0,43.4,43.1,1.01,1.0,692.0,4.7,512.0,1.0,-1.2,0.08,0.08,0.08,0.08,M0155+3130
190913046,8,True,True,True,True,True,True,True,True,True,True,48.2,43.9,1.1,1.5,137.0,44.4,43.9,1.01,1.1,698.0,7.2,354.7,1.0,0.8,0.08,0.08,0.08,0.08,M0155+3130
190913046,9,True,True,True,True,True,True,True,True,True,True,42.3,35.0,1.21,2.3,348.0,35.4,35.0,1.01,1.0,709.0,5.1,524.9,1.0,0.6,0.08,0.08,0.08,0.08,M0155+3130
190913046,10,True,True,True,True,True,True,True,True,True,True,37.7,31.8,1.19,2.1,301.0,32.7,31.9,1.02,1.1,742.0,8.8,548.6,1.1,0.6,0.08,0.08,0.08,0.08,M0155+3130
190913046,11,True,True,True,True,True,True,True,True,True,True,38.1,32.8,1.16,1.9,234.0,33.6,33.4,1.01,1.0,688.0,5.4,719.1,1.0,0.4,0.08,0.08,0.08,0.08,M0155+3130
190913046,15,True,True,True,True,True,True,True,True,True,False,49.5,43.6,1.13,1.7,194.0,45.7,44.3,1.03,1.1,728.0,4.4,1182.6,1.1,0.9,0.08,0.08,0.08,0.08,M0155+3130
190913046,21,True,True,True,True,True,True,True,True,True,False,55.8,46.8,1.19,2.2,308.0,49.2,48.3,1.02,1.1,716.0,7.6,780.5,1.1,0.9,0.08,0.08,0.08,0.08,M0155+3130
190913046,22,True,False,False,True,False,True,True,True,False,False,41.4,35.0,1.18,2.0,261.0,38.5,37.1,1.04,1.1,729.0,34.3,1739.3,1.1,0.6,0.08,0.08,0.08,0.08,M0155+3130
190913046,23,True,False,False,True,False,False,False,False,False,False,36.5,30.1,1.21,2.3,338.0,35.1,31.1,1.13,1.5,1042.0,2.7,1319.5,1.5,0.6,0.08,0.08,0.08,0.08,M0155+3130
190913046,27,True,True,True,True,True,True,True,True,True,True,46.2,37.8,1.22,2.4,368.0,39.3,38.2,1.03,1.0,680.0,10.7,2017.4,1.0,0.8,0.08,0.08,0.12,0.12,M0155+3130
190913046,28,True,True,True,True,True,True,True,True,True,False,38.3,34.0,1.13,1.7,195.0,34.5,34.1,1.01,1.0,690.0,3.6,1092.0,1.0,0.4,0.08,0.08,0.08,0.08,M0155+3130
190913046,33,True,True,True,True,True,True,True,True,True,True,52.3,45.5,1.15,1.9,243.0,46.1,45.6,1.01,1.0,681.0,6.1,1183.1,1.0,0.7,0.08,0.08,0.08,0.08,M0155+3130
190913046,34,True,True,True,True,True,True,True,True,True,True,45.6,39.1,1.17,1.9,250.0,39.6,39.1,1.01,1.0,686.0,10.7,1004.6,1.0,0.7,0.08,0.08,0.08,0.08,M0155+3130
190913046,35,True,True,True,True,False,False,False,False,False,True,43.1,35.3,1.22,2.4,374.0,38.0,35.3,1.08,1.1,736.0,3.0,1754.8,1.1,0.7,0.08,0.08,0.08,0.08,M0155+3130
190913046,37,True,True,True,True,True,True,True,True,True,False,44.5,36.5,1.22,2.3,352.0,38.3,36.6,1.05,1.1,745.0,2.6,1042.0,1.1,0.5,0.12,0.12,0.08,0.08,M0155+3130
190913046,38,True,True,True,True,True,True,True,True,True,False,48.7,44.2,1.1,1.6,172.0,44.7,44.6,1.0,1.0,683.0,5.2,1679.8,1.0,1.1,0.08,0.08,0.08,0.08,M0155+3130
190914041,1,True,False,False,True,False,False,True,True,False,True,55.7,47.5,1.17,2.0,271.0,59.2,48.3,1.23,1.4,966.0,8.1,5038.0,1.5,1.0,0.08,0.08,0.12,0.17,S2332+3130
190914041,2,True,True,True,True,False,False,True,True,False,True,44.2,39.6,1.12,1.7,180.0,40.4,39.7,1.02,1.0,655.0,16.3,1804.1,1.0,2.2,0.08,0.08,0.12,0.12,S2332+3130
190914041,3,True,True,True,True,False,False,False,False,False,True,41.8,34.9,1.2,2.2,304.0,34.8,35.1,0.99,1.0,632.0,12.6,778.8,0.9,1.3,0.08,0.08,0.12,0.08,S2332+3130
190914041,5,True,False,False,True,False,False,True,True,False,False,40.5,35.3,1.15,1.9,228.0,39.4,35.2,1.12,1.2,788.0,6.5,2498.4,1.2,1.6,0.08,0.08,0.08,0.08,S2332+3130
190914041,8,True,True,True,True,False,False,True,False,False,True,49.3,40.5,1.22,2.3,342.0,43.9,40.5,1.08,1.2,809.0,6.9,2339.6,1.2,-0.2,0.08,0.08,0.08,0.08,S2332+3130
190914041,9,True,True,True,True,False,False,True,True,False,True,40.6,33.6,1.21,2.2,320.0,34.0,33.7,1.01,1.0,674.0,7.9,465.7,1.0,0.1,0.08,0.08,0.08,0.08,S2332+3130
190914041,10,True,False,False,True,False,False,True,True,False,True,34.7,30.4,1.14,1.8,201.0,34.5,30.8,1.12,1.1,702.0,7.9,3274.9,1.0,-0.1,0.08,0.08,0.08,0.08,S2332+3130
190914041,15,True,False,True,False,False,False,True,False,False,False,47.9,42.5,1.13,1.7,183.0,43.9,42.7,1.03,1.1,722.0,6.6,1135.8,1.1,-0.0,1.0,1.0,0.08,0.08,S2332+3130
190914041,16,True,True,True,True,False,False,True,True,False,True,35.4,32.1,1.11,1.6,152.0,33.2,32.2,1.03,1.1,721.0,4.0,1542.0,1.0,0.6,0.08,0.08,0.08,0.08,S2332+3130
