ObsID,Name,Beam,RA,Dec,sigma_in,sigma_out,bmin,R,Ex-2,Neg10
190915042,M0209+3622,38,33.562185,37.390037,54.4,49.6,11.4,1.1,146.0,3.6
190919048,S1305+5815,1,193.570410,57.252186,47.3,40.0,12.3,1.18,374.0,5.3
190919048,S1305+5815,2,194.460284,57.252186,36.1,31.8,12.2,1.14,321.0,5.4
190919048,S1305+5815,3,195.350158,57.252186,30.2,27.8,12.3,1.09,195.0,3.9
190919048,S1305+5815,6,198.019779,57.252186,44.1,39.3,12.2,1.12,260.0,3.7
190919048,S1305+5815,8,194.015347,57.657534,42.0,36.8,12.2,1.14,300.0,4.5
190919048,S1305+5815,18,197.129905,58.062882,34.3,30.8,12.0,1.12,242.0,3.9
190919048,S1305+5815,20,198.909653,58.062882,39.6,34.7,12.2,1.14,288.0,4.0
190919048,S1305+5815,22,194.905221,58.468230,31.8,26.0,12.3,1.22,465.0,4.4
190919048,S1305+5815,28,195.350158,58.873578,33.1,28.2,12.3,1.17,373.0,4.4
190919048,S1305+5815,30,197.129905,58.873578,32.5,28.0,12.4,1.16,367.0,4.8
190919048,S1305+5815,31,198.019779,58.873578,32.9,29.9,12.3,1.1,208.0,3.8
190919048,S1305+5815,33,194.015347,59.278926,44.6,38.6,11.9,1.15,364.0,4.4
190919048,S1305+5815,34,194.905221,59.278926,37.4,33.7,11.9,1.11,225.0,3.8
190919048,S1305+5815,38,198.464716,59.278926,48.7,44.3,12.1,1.1,208.0,3.7
190919049,M0155+3356,0,28.829167,33.944444,36.9,30.7,11.0,1.2,334.0,4.0
190919049,M0155+3356,1,26.995479,32.931074,52.9,45.5,11.0,1.16,240.0,3.9
190919049,M0155+3356,3,28.123902,32.931074,35.6,30.5,11.0,1.17,260.0,4.2
190919049,M0155+3356,12,29.534432,33.336422,59.0,49.4,10.2,1.19,376.0,4.4
190919049,M0155+3356,18,29.252326,33.741770,40.2,35.2,11.0,1.14,222.0,3.7
