ObsID,Name,RA,Dec,Fluxcal,flux_first,flux_last,Polcal,pol_first,pol_last,Apercal_name,Apercal_version
200314001,M0141+3622,25.400000,36.376667,3C147,200313028,200313067,3C286,200314002,200315025,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200315026,S2214+3130,333.691667,31.512500,3C147,200315027,200315066,3C286,200314002,200315025,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200315067,M1301+3356,195.495833,33.944444,3C147,200315027,200315066,3C286,200316002,200317023,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200316001,M0208+3356,32.162500,33.944444,3C147,200315027,200315066,3C286,200316002,200317023,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200317024,S2226+4606,336.637500,46.105000,3C147,200317025,200317064,3C286,200316002,200317023,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200325126,S1513+5550,228.350000,55.833333,3C147,200325086,200325125,3C286,200326002,200327018,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200326001,S0232+3848,38.070833,38.808889,3C147,200325086,200325125,3C286,200326002,200327018,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200327019,S2218+4832,334.745833,48.537222,3C147,200327020,200327059,3C286,200326002,200327018,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200327060,S1516+5324,229.075000,53.401389,3C147,200327020,200327059,3C286,200328002,200329017,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200328001,S0257+4114,44.487500,41.240833,3C147,200327020,200327059,3C286,200328002,200329017,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200329018,S2231+4340,337.883333,43.673056,3C147,200329019,200329058,3C286,200328002,200329017,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200329059,S1532+5550,233.150000,55.833333,3C147,200329019,200329058,3C286,200330002,200331016,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200330001,S0312+4114,48.125000,41.240833,3C147,200329019,200329058,3C286,200330002,200331016,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200331017,S2235+4832,338.887500,48.537222,3C147,200331018,200331057,3C286,200330002,200331016,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200331058,S1534+5324,233.633333,53.401389,3C147,200331018,200331057,3C286,200401002,200402014,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200401001,S0304+4340,46.095833,43.673056,3C147,200331018,200331057,3C286,200401002,200402014,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200402015,S2242+4606,340.591667,46.105000,3C147,200402016,200402055,3C286,200401002,200402014,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200402056,S1552+5324,238.191667,53.401389,3C147,200402016,200402055,3C286,200403002,200404013,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
200403001,S0327+4114,51.762500,41.240833,3C147,200402016,200402055,3C286,200403002,200404013,Apercal_150_ACF_CDF_BPF,v2.5-309-g2f052a5
